state,city,SUM of last_available_confirmed,SUM of new_confirmed_7day_rolling,SUM of last_available_deaths,SUM of new_deaths_7day_rolling,MIN of date,MIN of estimated_population_2019
BA,PiatÃ£,1285,8,26,0,6/15/2021,17123
BA,PilÃ£o Arcado,626,1,14,0,6/15/2021,35048
BA,PindaÃ?,750,6,7,0,6/15/2021,16260
BA,PindobaÃ§u,1538,0,30,0,6/15/2021,20150
BA,Pintadas,941,1,7,0,6/15/2021,10437
BA,PiraÃ? do Norte,764,5,11,0,6/15/2021,10023
BA,PiripÃ¡,962,1,8,0,6/15/2021,10707
BA,Piritiba,671,3,15,0,6/15/2021,24755
BA,Planaltino,583,1,9,0,6/15/2021,9322
BA,Planalto,1485,6,28,0,6/15/2021,26265
BA,PoÃ§Ãµes,3128,13,65,1,6/15/2021,46871
BA,Pojuca,3241,14,45,0,6/15/2021,39519
BA,Ponto Novo,621,2,4,0,6/15/2021,14914
BA,Porto Seguro,9342,59,187,0,6/15/2021,148686
BA,PotiraguÃ¡,467,0,9,0,6/15/2021,7224
BA,Prado,1707,8,37,0,6/15/2021,28174
BA,Presidente Dutra,1294,4,18,0,6/15/2021,15142
BA,Presidente JÃ¢nio Quadros,651,1,9,0,6/15/2021,12338
BA,Presidente Tancredo Neves,1584,3,38,0,6/15/2021,27719
BA,Queimadas,1376,9,33,0,6/15/2021,25439
BA,Quijingue,376,4,14,0,6/15/2021,27580
BA,Quixabeira,792,3,7,0,6/15/2021,8972
BA,Rafael Jambeiro,977,7,21,0,6/15/2021,22621
BA,Remanso,1669,7,57,0,6/15/2021,41008
BA,RetirolÃ¢ndia,1440,6,11,0,6/15/2021,14396
BA,RiachÃ£o das Neves,1147,5,40,0,6/15/2021,22339
BA,RiachÃ£o do JacuÃ?pe,3611,6,41,0,6/15/2021,33436
BA,Riacho de Santana,1545,14,33,0,6/15/2021,35421
BA,Ribeira do Amparo,887,4,7,0,6/15/2021,14592
BA,Ribeira do Pombal,4734,39,56,1,6/15/2021,53807
BA,RibeirÃ£o do Largo,382,0,7,0,6/15/2021,5812
BA,Rio de Contas,532,5,4,0,6/15/2021,12989
BA,Rio do AntÃ´nio,729,15,13,0,6/15/2021,15371
BA,Rio do Pires,163,2,7,0,6/15/2021,11655
BA,Rio Real,2394,27,38,0,6/15/2021,40732
BA,Rodelas,236,1,4,0,6/15/2021,9331
BA,Ruy Barbosa,2189,4,30,0,6/15/2021,30814
BA,Salinas da Margarida,1383,2,14,0,6/15/2021,15667
BA,Salvador,217849,599,7087,32,6/15/2021,2872347
BA,Santa BÃ¡rbara,1081,7,21,0,6/15/2021,20791
BA,Santa BrÃ?gida,868,4,19,0,6/15/2021,14213
BA,Santa Cruz CabrÃ¡lia,2289,11,28,0,6/15/2021,27778
BA,Santa Cruz da VitÃ?ria,525,1,8,0,6/15/2021,6315
BA,Santa InÃªs,601,3,11,0,6/15/2021,10631
BA,Santa Luzia,1026,1,23,0,6/15/2021,12597
BA,Santa Maria da VitÃ?ria,2029,6,44,0,6/15/2021,39845
BA,Santa Rita de CÃ¡ssia,2227,11,26,0,6/15/2021,28338
